family_id,feature_value_id
07bee010-39f3-4200-9250-c1524842e6a6,00455560-362c-4b94-bdd0-f5c44e9d8c66
141f32d6-a5af-49bf-b019-fd28354977f1,00455560-362c-4b94-bdd0-f5c44e9d8c66
1b93b30c-833f-45a8-ba69-c21d2e7f4824,00455560-362c-4b94-bdd0-f5c44e9d8c66
1dc55e58-a5c3-462c-b73d-8dd480de90fc,00455560-362c-4b94-bdd0-f5c44e9d8c66
3087da56-5a27-4e58-aea7-1555c640f232,00455560-362c-4b94-bdd0-f5c44e9d8c66
35405a7d-7018-440b-9d16-76206ac3e224,00455560-362c-4b94-bdd0-f5c44e9d8c66
39792668-5cfd-42c2-8872-ad776e9bad70,00455560-362c-4b94-bdd0-f5c44e9d8c66
6598b655-3e19-448c-8b4f-ff6a29447b34,00455560-362c-4b94-bdd0-f5c44e9d8c66
74ba5e25-afd5-490b-a3a8-2175020c4487,00455560-362c-4b94-bdd0-f5c44e9d8c66
88ee8b83-a7fe-4c00-8f12-621b209012fd,00455560-362c-4b94-bdd0-f5c44e9d8c66
95f835a3-03fe-40f1-a813-4fbfd2842845,00455560-362c-4b94-bdd0-f5c44e9d8c66
9c5a3fee-dad0-444a-acb3-c059e2f3db20,00455560-362c-4b94-bdd0-f5c44e9d8c66
ba89fcc3-bb1b-42af-a754-2d9f639e43ab,00455560-362c-4b94-bdd0-f5c44e9d8c66
c59807ac-0362-4078-94b0-37ea3df6cdd0,00455560-362c-4b94-bdd0-f5c44e9d8c66
c6b81db8-29ed-43d6-b14d-0fd913d7ce36,00455560-362c-4b94-bdd0-f5c44e9d8c66
07bee010-39f3-4200-9250-c1524842e6a6,005f9e9b-50ed-4dde-bbb8-235848550db1
141f32d6-a5af-49bf-b019-fd28354977f1,005f9e9b-50ed-4dde-bbb8-235848550db1
1b93b30c-833f-45a8-ba69-c21d2e7f4824,005f9e9b-50ed-4dde-bbb8-235848550db1
1dc55e58-a5c3-462c-b73d-8dd480de90fc,005f9e9b-50ed-4dde-bbb8-235848550db1
3087da56-5a27-4e58-aea7-1555c640f232,005f9e9b-50ed-4dde-bbb8-235848550db1
35405a7d-7018-440b-9d16-76206ac3e224,005f9e9b-50ed-4dde-bbb8-235848550db1
39792668-5cfd-42c2-8872-ad776e9bad70,005f9e9b-50ed-4dde-bbb8-235848550db1
6598b655-3e19-448c-8b4f-ff6a29447b34,005f9e9b-50ed-4dde-bbb8-235848550db1
74ba5e25-afd5-490b-a3a8-2175020c4487,005f9e9b-50ed-4dde-bbb8-235848550db1
88ee8b83-a7fe-4c00-8f12-621b209012fd,005f9e9b-50ed-4dde-bbb8-235848550db1
95f835a3-03fe-40f1-a813-4fbfd2842845,005f9e9b-50ed-4dde-bbb8-235848550db1
9c5a3fee-dad0-444a-acb3-c059e2f3db20,005f9e9b-50ed-4dde-bbb8-235848550db1
ba89fcc3-bb1b-42af-a754-2d9f639e43ab,005f9e9b-50ed-4dde-bbb8-235848550db1
c59807ac-0362-4078-94b0-37ea3df6cdd0,005f9e9b-50ed-4dde-bbb8-235848550db1
c6b81db8-29ed-43d6-b14d-0fd913d7ce36,005f9e9b-50ed-4dde-bbb8-235848550db1
882ecdf8-325d-4826-a066-1b263e438f09,00624891-7070-466f-9c63-01523bb59781
07bee010-39f3-4200-9250-c1524842e6a6,00845e99-715e-40d5-8cf6-c2569f897884
141f32d6-a5af-49bf-b019-fd28354977f1,00845e99-715e-40d5-8cf6-c2569f897884
1b93b30c-833f-45a8-ba69-c21d2e7f4824,00845e99-715e-40d5-8cf6-c2569f897884
1dc55e58-a5c3-462c-b73d-8dd480de90fc,00845e99-715e-40d5-8cf6-c2569f897884
2514d6c8-11e6-4692-87b4-dcc1cd18592c,00845e99-715e-40d5-8cf6-c2569f897884
2c938aee-c124-459b-b7a0-ed99da7fbe6a,00845e99-715e-40d5-8cf6-c2569f897884
3087da56-5a27-4e58-aea7-1555c640f232,00845e99-715e-40d5-8cf6-c2569f897884
35405a7d-7018-440b-9d16-76206ac3e224,00845e99-715e-40d5-8cf6-c2569f897884
37958dd3-4743-4086-a6c3-f123ffd7caf0,00845e99-715e-40d5-8cf6-c2569f897884
39792668-5cfd-42c2-8872-ad776e9bad70,00845e99-715e-40d5-8cf6-c2569f897884
55cc672b-3ad7-4844-acdc-270f65d0c62b,00845e99-715e-40d5-8cf6-c2569f897884
57550a9f-cad3-4c38-99fe-6ed70fef0b01,00845e99-715e-40d5-8cf6-c2569f897884
593df4d0-9847-4a84-bba7-3a7ca2d3dfc7,00845e99-715e-40d5-8cf6-c2569f897884
5c38ce54-d239-44c4-8a9e-275feaa127f9,00845e99-715e-40d5-8cf6-c2569f897884
6598b655-3e19-448c-8b4f-ff6a29447b34,00845e99-715e-40d5-8cf6-c2569f897884
74ba5e25-afd5-490b-a3a8-2175020c4487,00845e99-715e-40d5-8cf6-c2569f897884
882ecdf8-325d-4826-a066-1b263e438f09,00845e99-715e-40d5-8cf6-c2569f897884
88ee8b83-a7fe-4c00-8f12-621b209012fd,00845e99-715e-40d5-8cf6-c2569f897884
95f835a3-03fe-40f1-a813-4fbfd2842845,00845e99-715e-40d5-8cf6-c2569f897884
9c5a3fee-dad0-444a-acb3-c059e2f3db20,00845e99-715e-40d5-8cf6-c2569f897884
b263ba41-adab-4a83-a3e0-2766522f5aec,00845e99-715e-40d5-8cf6-c2569f897884
ba89fcc3-bb1b-42af-a754-2d9f639e43ab,00845e99-715e-40d5-8cf6-c2569f897884
c59807ac-0362-4078-94b0-37ea3df6cdd0,00845e99-715e-40d5-8cf6-c2569f897884
c6b81db8-29ed-43d6-b14d-0fd913d7ce36,00845e99-715e-40d5-8cf6-c2569f897884
c7f438ee-c96c-4e24-8991-bd4659c693b5,00845e99-715e-40d5-8cf6-c2569f897884
d09ffc82-9fa1-44dc-a015-21ec043b6e94,00845e99-715e-40d5-8cf6-c2569f897884
d7e7539a-0919-4be6-bbbb-61ef59ab188a,00845e99-715e-40d5-8cf6-c2569f897884
e1646b68-8f10-4b63-87d5-30924341f8ba,00845e99-715e-40d5-8cf6-c2569f897884
07bee010-39f3-4200-9250-c1524842e6a6,00b61c53-33a5-4255-8dde-286370dca68b
141f32d6-a5af-49bf-b019-fd28354977f1,00b61c53-33a5-4255-8dde-286370dca68b
1b93b30c-833f-45a8-ba69-c21d2e7f4824,00b61c53-33a5-4255-8dde-286370dca68b
3087da56-5a27-4e58-aea7-1555c640f232,00b61c53-33a5-4255-8dde-286370dca68b
35405a7d-7018-440b-9d16-76206ac3e224,00b61c53-33a5-4255-8dde-286370dca68b
39792668-5cfd-42c2-8872-ad776e9bad70,00b61c53-33a5-4255-8dde-286370dca68b
