;id;brand_id;family_id;"""group""";legacy_id;title
0;5f5c4a50-557a-4d53-9e81-cc72fdd18fbf;cfca4b92-12a6-411c-a62a-a874d00aa735;141f32d6-a5af-49bf-b019-fd28354977f1;J1214;\N;Onljade Cardigan knit 
1;6e6b4255-006a-4d13-b312-3b1426290d8e;ce8d442c-e662-44f8-a130-2e436f119ede;6598b655-3e19-448c-8b4f-ff6a29447b34;P1393;9727;Poly Pant deeluxe
2;6549c1b1-989e-432a-bdc9-b603c438b310;cfca4b92-12a6-411c-a62a-a874d00aa735;1b93b30c-833f-45a8-ba69-c21d2e7f4824;J1738;16138;Onleden Sweater knt
3;dace6963-7e84-4cef-a153-3c6fb29cc7c3;1600fb81-6f8b-4fa2-9ae2-a33420125939;c6b81db8-29ed-43d6-b14d-0fd913d7ce36;K892;11621;Cerise Jacket print
4;d6679919-7a49-4edd-bd04-982289d0e8ac;09358432-a44c-4cb4-b8e6-bf51b403bf39;c59807ac-0362-4078-94b0-37ea3df6cdd0;S2517;14076;Auttum Shirt hippie
5;350b09b1-9156-468f-a7e8-b99cec0d6f6e;1600fb81-6f8b-4fa2-9ae2-a33420125939;1dc55e58-a5c3-462c-b73d-8dd480de90fc;P2109;\N;Cherry Pant plain T. L C. brown
6;965805d4-5a1a-4779-a42a-b10866deef3d;a1f8d89e-04ed-42a9-8c51-dc04cbdd0d18;95f835a3-03fe-40f1-a813-4fbfd2842845;T1997;16328;Billary Top closet
7;f7b1efdf-c846-4ee2-8454-19c628097adb;a1f8d89e-04ed-42a9-8c51-dc04cbdd0d18;95f835a3-03fe-40f1-a813-4fbfd2842845;T1782;16330;Panthy Top closet
8;1612cad7-b3ff-4c18-91d5-237795578050;9ef43878-70f3-43df-959d-49af8b1f580f;39792668-5cfd-42c2-8872-ad776e9bad70;T3002;17229;Tilda Top majolica
9;2ccf1dc1-0e59-4cc7-8c5f-ee7a7d59a750;055096da-3cab-492e-8e19-98e6d2656f1d;3087da56-5a27-4e58-aea7-1555c640f232;C1108;10471;Long Tshirt stripe
10;ce077e88-0e94-46c9-b838-cd4ad6b9c9c2;055096da-3cab-492e-8e19-98e6d2656f1d;39792668-5cfd-42c2-8872-ad776e9bad70;T999;10475;Turna Top flounce 
