user_id;user_market;frequency;newsletter_subscribed;dress_leisure;dress_work;fit_top;fit_bottom;body_shape;eyes;hair;size_top;size_bottom;size_footwear;size_bra;size_cup;height;weight;adventurous;prices;job;date_birth;age;is_mother;style_1;style_2
daa1768a80784e0aaae198ca71ed768b;UK;on-demand;1;street;casual;fitted;straight;rectangle;blue;blonde;S;S;39.0;85.0;C;170.18;65.38;4.0;60-100;health;1992-09-04;31.0;False;boho;evening
692d37f4e76641cea9f6293ef85eb85e;FR;on-demand;0;classic;classic;loose;fitted;hourglass;green;chestnut-brown;L;M;38.0;105.0;E;160.0;70.0;3.0;30-60;education;1994-02-25;30.0;True;classic;evening
2865d6f649444c40953daf903f68ae69;FR;on-demand;0;casual;casual;loose;fitted;oval;green;chestnut-brown;L;M;38.0;95.0;D;162.0;65.0;3.0;30-60;other;1984-03-16;40.0;True;evening;boho
4279194d644b4538af60a71de38fb707;BELUX;on-demand;0;street;casual;loose;straight;oval;dark-brown;chestnut-brown;XXL;XL;37.0;100.0;D;160.0;84.0;4.0;30-60;administration;1978-11-02;45.0;True;casual;street
50ad4b427e59412d930edbe4af80c32c;FR;on-demand;0;casual;classic;loose;straight;diamond;green;chestnut-brown;L;L;37.0;95.0;D;154.0;60.0;;60-100;health;1974-11-09;49.0;True;minimalist;
cf5889a744cd48de85ea2e59561e1774;ES;on-demand;1;casual;classic;fitted;fitted;triangle;dark-brown;chestnut-brown;S;S;36.0;90.0;B;165.0;55.0;4.0;60-100;health;1996-04-12;28.0;False;boho;casual
9b576d0073f44b3a9c2ef1ed31bd820a;ES;bimonthly;0;casual;street;loose;straight;rectangle;green;grey-platinum;3XL;4XL;41.0;95.0;D;156.0;89.5;2.0;60-100;hospitality;1970-07-15;54.0;False;street;casual
040e1e30c9ed4248bc9799a707e36d60;FR;on-demand;0;street;casual;straight;straight;hourglass;hazel;chocolate-brown;M;M;38.0;90.0;C;165.0;62.0;5.0;100+;hospitality;1982-11-12;41.0;True;street;evening
1de9ea6670d34a1f8735df5ef7697fb9;FR;bimonthly;0;street;street;fitted;straight;triangle;dark-brown;red;L;XL;38.0;95.0;D;158.0;88.0;3.0;30-60;administration;1980-07-03;44.0;True;evening;street
19322fed157c49c6b16e2d5cabeb9592;FR;on-demand;0;street;casual;straight;fitted;rectangle;blue;chestnut-brown;L;L;37.0;95.0;C;161.0;64.0;3.0;60-100;administration;1977-04-18;47.0;True;street;boho
d868c2cf1d4a4b12b6a20bb02edf0743;BELUX;monthly;0;classic;classic;loose;loose;rectangle;green;blonde;XL;XL;40.0;90.0;B;172.0;75.0;1.0;100+;agriculture;1966-09-25;57.0;;classic;minimalist
08f0ebd4950c4dd98e97b5bdf073eed1;FR;on-demand;0;femenine;femenine;fitted;fitted;hourglass;dark-brown;blonde;XS;XS;37.0;85.0;C;162.0;48.0;5.0;30-60;administration;1985-09-12;38.0;True;boho;street
7bf78a4d9f8f4ffba5f80a0a58994953;DE;quarterly;0;street;street;straight;fitted;hourglass;dark-brown;chestnut-brown;M;M;37.0;95.0;C;156.0;56.0;3.0;30-60;health;1986-12-03;37.0;True;boho;evening
aad1426810874756bff4bb8cf703c9ff;FR;on-demand;1;femenine;femenine;loose;straight;inverted-triangle;hazel;black;S;S;37.0;95.0;B;163.0;55.0;3.0;100+;education;1981-05-04;43.0;True;boho;evening
175e994126074d5fb6ab14759da618fd;FR;on-demand;0;casual;classic;fitted;straight;oval;dark-brown;chestnut-brown;L;L;37.0;;;158.0;68.0;3.0;30-60;administration;1973-05-18;51.0;True;street;boho
e16682717c9b4fae80ca17b703be0e66;FR;on-demand;0;street;street;fitted;straight;oval;hazel;chestnut-brown;3XL;4XL;41.0;105.0;C;177.0;115.0;4.0;30-60;administration;1976-07-09;48.0;False;casual;minimalist
f149f542e935487097346b4501eaf614;ES;monthly;0;street;street;loose;fitted;diamond;dark-brown;blonde;L;L;39.0;105.0;;170.0;65.0;2.0;60-100;administration;1971-07-03;53.0;True;evening;casual
04762a223c9f40c99ac96628c4381836;UK;on-demand;0;casual;casual;loose;fitted;oval;hazel;chocolate-brown;XXL;XXL;40.0;100.0;D;180.34;89.89;3.0;30-60;public-sector;1981-08-26;42.0;True;casual;evening
9388ca133b884b0788d130a0285a6a78;FR;bimonthly;0;street;casual;fitted;straight;rectangle;green;red;S;S;36.0;90.0;A;166.0;56.0;3.0;60-100;education;1977-11-03;46.0;True;evening;street
e2a7cd6eb6b6465aa191c232a57e5e4f;IT;quarterly;0;casual;classic;fitted;loose;rectangle;hazel;chocolate-brown;XL;XL;;95.0;B;172.0;66.0;5.0;30-60;technology;1977-01-26;47.0;True;boho;street
34ce0fec8b394160a0d018c05a95c2ee;FR;on-demand;0;femenine;femenine;straight;straight;oval;hazel;chestnut-brown;XL;3XL;40.0;100.0;C;165.0;88.0;4.0;30-60;other;1992-09-22;31.0;False;street;evening
1072400baea949c6a8d16ddcce3ef6cd;UK;quarterly;0;casual;street;fitted;fitted;triangle;blue;blonde;L;XL;38.0;100.0;C;160.02;66.74;3.0;30-60;education;1975-08-29;48.0;True;street;casual
06325ab871bb4ec6ab00c7ca6e1ae030;DE;on-demand;0;classic;street;loose;fitted;oval;blue;blonde;L;L;39.0;95.0;D;158.0;70.0;2.0;30-60;education;1972-09-19;51.0;True;street;casual
6da2e572601d4b27a5991680248ec4a1;UK;on-demand;1;casual;street;loose;fitted;oval;blue;blonde;XL;XL;40.0;;;172.72;77.63;5.0;30-60;homemaker;1976-04-10;48.0;True;casual;minimalist
2e3af70280454d38981b2b7bccb7fc9f;FR;bimonthly;0;street;street;loose;straight;oval;green;chestnut-brown;L;L;39.0;100.0;C;169.0;74.0;3.0;60-100;health;1978-07-20;46.0;True;casual;street
11b618a2c7a74b47a784a9048cc4d8cc;FR;on-demand;1;casual;classic;loose;loose;oval;hazel;grey-platinum;XXL;XXL;38.0;90.0;D;160.0;70.0;5.0;60-100;other;1960-10-12;63.0;True;evening;
73b3097984b44ffb84f4461bd14559d4;DE;on-demand;1;classic;classic;straight;straight;hourglass;blue;blonde;M;M;40.0;95.0;B;174.0;62.0;4.0;100+;executive;1973-01-12;51.0;True;street;minimalist
d38cd22f3e9048c390ff64251220ed66;FR;bimonthly;0;femenine;femenine;fitted;straight;diamond;hazel;chestnut-brown;XS;S;37.0;90.0;A;157.0;55.0;3.0;60-100;administration;1978-04-18;46.0;True;boho;street
06af980ac524452e8eb3b0614d80457d;UK;on-demand;1;street;femenine;fitted;straight;inverted-triangle;green;chestnut-brown;XL;L;39.0;95.0;D;160.02;60.38;4.0;60-100;other;1956-10-26;67.0;False;street;
4d7f58e7b1474b20bccc3d25f4e76ea7;FR;on-demand;0;casual;street;loose;straight;rectangle;grey;chestnut-brown;4XL;3XL;39.0;100.0;C;156.0;92.0;2.0;30-60;administration;1978-06-29;46.0;True;casual;
